teks|label
"@hadory_aye @ladrinaline @viviznants udahmenyerah aku, karena lelah jg debat ama orang yang tidak bisa berpikir scr logis.

psti km golongan orang-orang ketika ada tulisan arab di kamar mandi pasti marah karena tulisan tsb arab.
karena kelogisan udh mati, dan tidak bisa berpikir scr kritis."|normal
@ike_hw71 @divhumas_polri biarin saja, wong dia mati ingin berangkat sendiri ke kuburan kok🤣🤣|normal
@ina_rinaaa-rinaaa tidak papa kak buat merasa lelah tidak papa sekali, tapi jangan nyoba buatmenyerah apalagi buat mati. istirahat dulu tidak papa, istirahat dari segala hal yang buat kak ina lelah, mungkin kalo ngefangirl itu salah satunya, rest dulu kak tinggalin cokpop kakak dulu tidak papa, semangat ya kak peluk|normal
@innovacommunity pengemudi tolol. sudah mau keluar tol masih saja ingin mati.|normal
@iwnnabeurbf tidak mudajmenyerah, kalau lelah yah tidur bukan mau mati ok|normal
@iyenew @tanyakanrl ini yang buat aku tidak setuju sama paksu yang ingin punya anak 1 saja. takut dia kesepian kalo aku udh mati duluan sedih tp paksu tidak tega liat aku susah dan sakit bunting begini, blm lg nanti pas lahiran dan repotnya jd busui newborn,  jd cukup 1 saja katanya|normal
"@jatosint yakali semuanya korupsi, apa jangan-jangan banyak warga ukraina yang tidak ingin mati sia-sia karena si badut ingin menang 100%?

gua denger-denger mobilisasinya ukraina itu tidak sesuai ekspektasi pemerintahan si badut. pantes saja si eks advisornya si badut arestovych koar-koar."|normal
@jigujellyselle @pinginmatisaja @celphion ya lebih aman dibandingkan mefinal kalau kita lihat kandungan zat aktifnya|normal
@jogmfs jangan jadikan bundir sebagai solusi masalah hidupmu, nder. aku juga lelah tp takut mati. seberat apapun pasti ada jalannya. janganmenyerah, ya. semangat!  peluk|normal
@kdrama_menfess dahlahmenyerah sama writernim, mati saja semua biar tambah ikhlas endingnya, lelah anjir sudah 15 episodemenangis mulu|normal
"@kedirifess galau brutal 1 tahunan =&gt; nyoba nerima semua cowo =&gt; main"" sama semua cowo =&gt; lelah tapi sembuh =&gt; cut semua cowo =&gt; mati rasa ^^ 

fak kata aku teh

dahmenyerah aku nder, dari dulu tidak pernah beruntung soal relationsyiittt 

or maybe i just do not deserve to be loved ☺️"|normal
"@kochengfs jadi rekomendasi yang aman apa ya? ingin ngebantu stray cats tp trauma lihat kucing aku sblm-sblmnya mati karena sakit kencing:'(. jujur saja, kalo beli merk yang mahal pun blm mampu:""((("|normal
@kucengterbanggg jangan pernah terlintas untuk mati/bunuh diri. masih harus berjuang, harus ngerasain lelah, harus ngerasain ditertawakan orang lain karena usaha yang kecil. tetep janganmenyerah buat hidup, walau blm tahu apa yang dikejar buat kedepannya. intinya tetep hidup ya. tuhan nyata adanya. amin|normal
@kurusetra91 @prabowo mulai bagian dia ingin penerimaan pemerintah naik seterusnya paham si, yang bingung hilirisasi yang kek bagaimana yang dia mau supaya bisa meningkatkan penerimaan pemerintah. kalo naikin pajak ya sama saja boong lah. umkm dah mati duluan sebelum disuntik dana sama pemerintah gegara pajak.|normal
@laviedenoona @bts_twt kak lelah bangettt bolehmenyerah nggk? tapi belum ketemu yoongi senyum tapi lelah bangetttt kalo tiba-tiba di datengin trauma rasanya mau mati saja menangis|waspada
@leaarchvmenyerah deh, lelah sekali nangisin pratidak gea  kecewa sekarang apalagi ini? davina ngapain? davina tahu dr mana pratidak disitu? mau apa lagi? vin, pratidak cinta mati sama gea. sudah lah vin, jangan macem-macem goda-goda pratidak  kecewa|normal
"@luculucuaaan bisa yok janganmenyerah kalau lelah istirahat jangan dikit"" minta mati wkwkw"|normal
@martabakismissu sendirinya yang ingin mati kenapa harus orang lain ikutan juga si. giliran sudah ngebakar sendirinya masih selamat main kabur aja|normal
@moh_alexm @tvindonesiawkwk gwmenyerah nembakin zombi tidak ada yang mati, lelah jiwa raga|normal
@neohistoria_id @aniesbaswedan anggaplah ada reformasi, dan menang, tetep akan muncul pihak-pihak yang ingin merasakan kue nya juga, belum lagi anak-anak ato sodara yang kemaren merasakan, mana mau hilang priuk. emang benar, kudunya hukuman mati saja buat mereka para koruptor|normal
@olgaly_dia yang  terjadi... ingin kaya dgn cr  apa saja. ( hukuman mati kudu diterapkan di negara ini ).biar   clear  )|normal
@overthinking_d janganmenyerah yah, sedikit lagi please, terimakasih untuk tidak mati setiap harinya, maaf ya terlalu egois sama kamu, maaf terlalu bodoamat akan perasaan lelah kamu akan perasaan yang mati setiap harinya, satu hal kamu harus bertahan|normal
@pai_c1 sampah sekali sih orang” kaya begini, minimal kalau mau mati tidak usah ngajak” lah, balapan di jalan raya yang masih rame anjg, kaya gaada sirkuit saja, kasihan orang lain yang ingin santai di jln jadi kena.|normal
"@patkai4848 @normelpeople @folkshittmedia wkwkw terwakili sekali.. kadang heran juga di post sebelah masih saja ada yang belain mati"" an ..padahal katanya ingin korupsi d berantas giliran sekarang dah lek begini d bela..terus mau nya apa si kontol?"|normal
"@pinginmatisaja @celphion dia jangka pendeknya ada efek samping mengiritasi lambung. makanya disuruh minum abis makan, atahu bahkan ada yang sekalian kasih obat maag
jangka panjang dia kena ginjal, dan ini banyak kasusnya."|normal
@pinginmatisaja @celphion hai kak, apoteker here. kalau membandingkan mefinal (kandungan zat aktif asam mefenamat) dan parasetamol jawabannya jauh lebih aman parasetamol bahkan untuk jangka pendek dan jangka panjang.|normal
@pinginmatisaja @infomalang kak jual ke aku.. masih ada ga|normal
@pinginmatisaja ya kaaaannnnn menangis|normal
"@puthutea ada saudara punya usaha cafe.. bertahan dari covid saja setengah mati, hingga jual asset pribadi biar tidak tutup n karyawan gajian..
abis covid, usaha baru mulai ""hidup"" lagi, datanglah petugas pajak ingin ngutip ini-itu..
daripada pusing, akhirnya cafe ditutup."|normal
@putriiwirananto lelah hidup mati segan mput. lelah jadi warga bumi. ingin pindah ke mars saja. cobaan kok dicobain terus.|normal
@qarzhy anjing yang lagi hamil saja tidak ingin mati, ehh elu malah hamil ingin mati, ini bagaimana konsepnya jem...|normal
@tanyakanrl aminn. semangat ya...sebagai yang dulu berjuang mati matian buat interview dan sekarang udahmenyerah. jadi tahu rasanya lelah nyari kerjs. semoga keterima!|normal
@tanyakanrl gamau mati konyol saja, terus kepikiran goals juga sih...setiap maumenyerah atahu lelah coba liat saja video atahu apapun yang buat kita semangat buat jalanin hidup|normal
@tanyakanrl kaya kata gie, berbahagialah yang mati muda. tapiii, aq dlu jg mkir kaya kamu, skrg punya suami+anak dan benar-benar berubah halauan berpikir klo bisa matinya ntar menua bersama anak cucu saja...ingin sehat hidup sampai tua ngeliat org-org yang dcinta bahagia  menangis|normal
"@tanyarlfes gabung komun ingin mati saja nder!!! 
narsumnya jelas banyak sekali. 
sekalian bisa nemenin mereka cerita, siapa tahu mereka bisa keluar dari zona putus asa."|normal
@tanyarlfes kalau hanya ingin crot,,kan bisa dengan cara lain tidak harus ngewe,, kan bisa loe rayu dulu tuh istri..! biar makin seru kan hidupnya,,mabok terus gede in ntar juga mati sendiri. salah juga kalau langsung di bunuh,,harusnya di cepit bsaja saja titit e..|normal
@tanyarlfes putusin. klo dia bilang ingin mati persilakan saja, terus blok. hidupmu lebih selamat tanpa cowok manipulatif kayak gitu.|normal
@tarralisme lagi lelah sekali, 2thn diguyur masalah hidup, eh ditambah masalah baru akibat kebulolan sendiri, inginmenyerah tapi takut mati 🫠|waspada
"@tehtehanpandan @pinginmatisaja tinggal diajak ke dokter gigi bareng saja.
bau mulut ya bs diobatin, greenflag susah di cari."|normal
"@tokkidokiez @jujutsufess wkwkwkwkwkwk
emang sih, aku jugamenyerah. lelah sekali semua mati  kecewa angkat tangan"|normal
@twtfromarvntt gatahu ih babe isayama padahal bisa dapat cuan lagi kann, soalnya fandom aot tuh blom mati  menangis kyknya dia emang sudah lelah saja si, ingin hidup tenang|normal
@wagimandeep-wagimandeep12_ kalo lihat si budi sekarang kok ingin muntah...@budimandjatmiko kenapa dulu jaman orba tidak mati saja yaa|normal
@worksfess aku juga ingin mati saja wkwkwk|waspada
"@worksfess gw yakin orang yang sudah mentok begini disuruh sholat juga bakal males baca.

nder, perasaan lu valid kok, lu mati rasa. tapi menyerah juga bukan pilihan kan? kalau lelah istirahat dulu saja. sambil doa minta petunjuk, minta dituntun lagi. at least itu yang bisa lu usahain skrng. smngt semangat"|normal
"11. my biggest dream, is to be a mom, a girl mom. maka e aku senang klo dipanggil bunda sama siapa saja, keinginanku tuh begini ""sebelum aku mati, aku ingin sekali jadi seorang ibu dulu di dunia ini"""|normal
ada orang yang hidup nya baik baik saja ingin mati, sementara orang yang mental nya sakit karena orang orang sekitar dia ingin mati padahal asli nya dia ingin sekali hidup. tapi karena lelah sama lingkungan sekitarnya buat dia nyerah|normal
akhir-akhir ini aku merasa tertekan sekali sm keadaan hidup, aku pgnmenyerah dan mati saja. rasanya, dunia kok jahat sekali ya sama aku, kok aku menderita terus. kenapa tuhan ngasih aku hidup yang kaya gini? jujur aku pgn sekali mati. lelah sekali sama keadaan. tidak apa-apa kan klo aku suicide?|mengkhawatirkan
aku ingin mati saja yaallah daripada disini harus merasa kek gini|waspada
aku lelah tapi tidak maumenyerah, mungkin gua bakal falldown, drain, burnrout lagi, tapi gua tidak maumenyerah, tidak mau ingin mati lagi. i just wanna live my life, bahkan kalo bisa gua mau nikah dan punya anak sebelum meninggal, what a new goals of life.|normal
aku lelah. aku inginmenyerah tapi tidak seberani itu untuk mati.|waspada
aku lelah. aku lelah. aku lelah. tidak ada yang bisa liat ini kah? allah kan maha melihat. tidak mungkin allah tidak liat ini. aku lelah sekali. aku benar benar lelah. aku sudah gabisa bertahan lagi. aku sudah benar benar inginmenyerah. gabisa kah aku mati? ktnya semua makhluk hidup mati|mengkhawatirkan
"aku mempelajari mimpi-mimpi saja sudah lelah, ya allah. apalagi mengurusi urusan umat.

kayak ya sudah, aku fokus ke satu bidang ini saja. dan capeknya bukan main.

nyerah? tidak bisa. kayak kalau tidak ku lakuin, ya aku mati

iri sekali sama orang yang hidup normal.  menangis kayak bahagia ya?"|waspada
aku minoritas kalau di tempat ku, rasanya ingin mati aja|mengkhawatirkan
aku pernah di satu titik dimana, aku benar-benar lelah, sudah maumenyerah saja. terus temen aku tanya kenapa dan aku ceritain ke dia. terus diamenangis, takut kalau misal aku tidak ada ntar dia sama siapa. detik itu juga aku langsung sadar, tidak boleh mati duluan.|normal
aku sudah lelah sampai ada di titikmenyerah itu tidak bohong sakit dan mati rasanya. micro cheating yang dilakuin dan melibatkan dia ini buat aku insecure, mati rasa dan takut. tidak ada yang dipihak aku sama sekali sementara aku si calon istri wkwk. lucu sekali astaga.|waspada
"anjing, jadi anak perempuan pertama itu lelah cok. aku inginmenyerah saja rasanya hadapi problema hidup ini. tapi gatahu knp diri aku yang lain gamau mati gtu saja, kayak lu udh menderita di dunia masa di akhirat lu hrs menderita lagi grgr lu akhiri hidup gtu saja. 

tapi aku lelah menangis"|waspada
"apa kalo kita lelah &amp; pasrah itu artinya nyerah?
dan kalo kitamenyerah itu artinya kalah?
ah ssudah tidak peduli mau di kata lemah mereka semua tidak tahu bertahan tetep terlihat waras padahal ssudah gila dan hampir mati."|waspada
"apasih lo wir 
lo kek yang paling tersakiti sekali 
najis playing victim

jawab saja gam jawab 
tidak ada gama yang dulu, gama yang dulu sudah mati lelah lelahmenyerah ngertiin wira 

jawab gitu gam"|normal
awalnya aku bakal mati matian berjuang, selagi bisa pegang senjata aku mau jd sniper or selagi ada senjata apapun gas  enak  tapi klo lelah nntimenyerah sendiri sih wkwkw|normal
"banyak dosa jadi harus sakit sampai mati. maafin aku sayang menangis menangis menangis

tapi ini tidak nyiksa eren saja, mikasa juga, cuma dia kuat-kuatin saja. sampai akhirnya eren lelah juga dan akhirnyamenyerah, kesian liat istrinya ikut lelah jagain.
aku harap isi hati eren tersampaikan ke pembaca."|normal
"benar sih, soalnya kan diurusin itu tidak jamin.  mana tahu kapan ditinggal mati, pengurus sakit, atau bosen lu diusir atau ditinggal. 
cuma di gw yang tidak punya tujuan hidup tapi ingin punya ini, doain saja biar gw cepet sembuh dan bisa usaha lagi....
 https://t.co/kyrhm-kyrhmvf54"|waspada
"benar-benar lelah rasanya, mana masalah tempat tinggal aku juga buat stress sekali.
kemarin-kemarin aku sudah inginmenyerah sekali, tapi aku ingat dosa-dosa aku, kalu mati bunuh diri auto masuk neraka tidak nyaman
aku tidak mau masuk neraka walau aku banyak dosa."|waspada
"buat mikirin ""ingin apa???"" saja tidak nemu anjirrr. yang penting aku g ingin mati dah."|normal
"capekk ya allah mau mati ajaaa
lelah sekali rasanya kaya udhmenyerah sm semua nya"|waspada
"dah lah.
mati cepet never seems like a bad idea to me anyways. biarin saja dah. aku tidak berharap hidup terlalu lama kalo begini-begini saja...
bye.
nyerah aku.
kalo 5 taun lagi mati ya ssudah mati lah. lelah sekali aku mau posthink-posthink sudah telat."|mengkhawatirkan
"dulu sempat ""malu"" waktu kasur (termasuk kasur bayi) penuh kutu busuk, kemungkinan karena nenek ""import"" dari pasar. lelah bunuhin tidak abis-abis, batita juga kena gigit. 

dijemur sih mati, tapi harus telaten bolak-balik. atahu semprot pakai obat nyamuk. akhirnyamenyerah, ganti kasur."|normal
"earth ke mix “ingin bersama sampai mati” (mnkh) 

khaotung ke first “kalo lelah trs nengok kebelakang pasti selalu ada kamu” (seranjang kah luhk) 

guamenyerah sekali sama cp bulol ini pantesan saja lu ber4 klop sekali menangis"|normal
fase dimana yang membuatmu overthinking, dihajar mati-matian, tenatidak yang terkuras habis, lelah ya? kuat-kuatin saja memang prosesnya seperti itu, janganmenyerah, teruslah berusaha dan lakuin yang terbaik.|normal
gais kalau ketemu manusia yang ingin mati jangan dinasehatin ya gais, bilang saja tidak apa-apa semua dilewatin bisa kok pelan pelan, bukan dipaksa ngelewatin semuanya ok|normal
gatahu gd energi apa apaa kek momenyerah dahal gatahu lg ada masalah apa tapi pusing kek… lo pernah kan pusing lelah tapi gatahu pusingin apa? sampai sampai low energi dan energi lo tidak balik balik? kek mati rasa gt tp gatahu kenapa, ini tidak galau cs cowo y, cowo aku baik, tp kek patung https://t.co/tlzxbmczl7|waspada
gua juga takut si kalo orang yang sayang sama gua tapi gua mati rasa nanti dia bagaimana dia pastimenyerah ya gua belum nyoba si tapi setelah ingat lagi bakal lelah buat ngulang wkwwk gamau effort duluan karena bodoh soal cinta|waspada
gua nyemangatin orang, nenangin orang. tapi asli gua sendiri rasanya ingin mati saja bawaanya menangis menangis menangis menangis menangis|waspada
gua rasanya ingin merayakan hari ini dengan tenang saja sulit setengah mati  pasrah pasrah|normal
gw malah yang berfikir orang tua gw yang nyusahin gw akibat manjain abang gw, jadi banyak hutang kartu kredit, dan gw jadi generasi sanwich bayarin hutang ortu..., dan abang gw kabur dari rumah, hati sama perasaan orang tua gw lebih ke abang gw, kayaknya ingin mati saja si. https://t.co/ymop4te3dq|waspada
harus kemana lagi aku kalo kamu juga menjauh tempat pulang aku cuma kamu tapi semua dah runtuh aku cuma punya aku sekarang aku lelah kadang maumenyerah tapi liat kamu yang jauh lebih lelah saja bisa ko aku tidak, jangan berpikir mati dulu ya sar nanti aku sama siapa|waspada
"hidup di keluarga toxid... lelah.. inginmenyerah,
mati kayaknya paling relevan"|waspada
ingin emosi ni mati saja. sumpah. lelah sekali jd cwe.|waspada
"ingin indonesia hukumnya juga begini.

biar mati semua tuh para pedofil!!
apa lagi yang perkosa anaknya sendiri!! lindes saja sudah pake truck container!"|normal
ingin mati aja|mengkhawatirkan
ingin mati saja g kuat|mengkhawatirkan
ingin mati saja lah tidak tahu mau ngapain kedepannya|mengkhawatirkan
ingin mati saja rasanya aku dah tidak tahan lagi kok, haha aku bukan anak baperan|mengkhawatirkan
ingin mati saja rasanya g sanggup lagi ma , knapa pada jahat semua sama icah|mengkhawatirkan
ingin mati saja sumpah, tidak ngitak sekali akibat dari keputusan ku yang salah, coba saja aku tidak maksa buat ikut so blnan, meski niatnya ingin bljr so blnan tapi aku blm siap, dari eaktu dtg buat bantu, pakaian, dan lagi aku masih di antar jemput dan jam plg pun tidak pasti|waspada
ingin mati saja tiap ada yang nanya begini https://t.co/fwonpbaqvr|normal
ingin mati saja ya allah menangis sedih|waspada
inginmenyerah, trus mati saja bs gasih? lelah sm manusia-manusia ini..|waspada
jangankan angkat semen.. nyoba bobok dinding 4-5 jam saja rasanya kek mo mati wkwk|normal
"jauh sekali. akhirnya waktu dijalan dia tanya, ada apa sayang? mau cerita? aku langsung nangiss wkwkwkk, aku tutup kaca helm karna jlekkk sekalimenangis wkwkwk. aku bilang mau mati saja, ""sayang jangan bilang kaya gitu terus, aku tahu kamu lelah, tapi jangan nyerah—"|waspada
jjur kemarin-kemarin sempet nyesel knp nekat ingin kuliah di its, knp tidak mau ub saja yang gaperlu ngerantahu dan tiap hari bs ketemu keluarga. tapi waktu pwk denger hymne nya its baru sadar kl ak emg dah cinta mati sm ni kampus. https://t.co/xy77oituqe|normal
"jujur saja gw mencemaskan status wa kekasihku skeletiano.

entah apa yang dialaminya sampai dia pasang kutipan soe hok gie tentang sialnya bertahan hidup sampai tua.

emang sih, hidup sampai tua itu lelah.  tp jujur gw tidak mau buru-buru mati, dan gw ingin dia juga pjg umur.... https://t.co/hzg3kz5ih7"|normal
jujur! hari ini merasa lelah, lelah, depresi mau nyamenyerah saja. tapi keknya gamungkin buatmenyerah soal nya hidup masih terus berjalan dan lo belum mati.|waspada
kalau w mati siapa saja yang sedih, selama ini w selalu nyusahin banyak orang, aku ingin kabur dari semua tapi allah selalu punya rencana, padahal sadar kalau kena istidraj malah lanjut part 2|waspada
kalo boleh jujur aku tuh lelah sekali gitu loh inginmenyerah saja aku tuh sebenernya, cuman ya bagaimana ya aku gamau mati jadi hantu makanya masih bertahan terus|waspada
kalo lagi suntuk tuh benar-benar adaaaa saja masalahnya. si laptop yang not responding lah, wifi mati, paket data habis. ngeselin sekali asli. ingin nangis|normal
kita mahh lelah lelah mati matian cari yang berkah, dia mahh malah asik asikan ngelakuin kemasiatan. klo dibilang kyk sia sia si tidak, cuma lebih kek ingin nyerah|normal
kita sama-sama lelah, trnyata rehatnya bukan rehat yang sebenarnya. kita terus maju dan berjuang ok? walaupun gatahu sampai kapan, tapi janganmenyerah dulu, jangan mau mati dulu persiapan kamu belum cukup|normal
knpa gw bilang sundal? karena stelah ninggalin anaknya gtu saja dia nikah lagi &amp; punya anak lagi. trus skrng tantrum bilang ingin mati. yasudah sana mati saja lah|normal
"kok yabisaa gitu loh kematian dimainin yaa emang kadang gua juga ingin mati kalo lagimenyerah sama idup tapi balik lagi gua mati ibu gua gmna adek"" gua gmna, lu tahu tidak gua penyakitan biar lelah minum obat tapi masih ada semangat buat hidup lama"|normal
kuat ya ian, tidak apa-apa buat merasa lelah tapi janganmenyerah ya, kamu salah satu alasan aku tidak mati waktu itu, janji kuat sampai akhir bareng-bareng ya ian, semangat darling https://t.co/il-iluhgq0vd|normal
lama-lama emosi nih aku sm @myxl ... aku kan customer sdh bertahun-bertahun, mau ngadu saja susahnya setengah mati, aku ingin ngomong sm manusia, yang jawab mesin mulu, mana diputer-diputer lagi pertanyaannya ..|normal
lama-lama emosi nih aku sm @myxlcare  ... aku kan customer sdh bertahun-bertahun, mau ngadu saja susahnya setengah mati, aku ingin ngomong sm manusia, yang jawab mesin mulu, mana diputer-diputer lagi pertanyaannya ..|normal
lebh suka skenario klo mahito mati di tangan nobara. emg gege nya pro villain n ingin liat yuji menderita saja mah dia|normal
"lelah dan takut sekali sama pikiran sendiri. akhir-akhir ini benar-benar inginmenyerah, ingin mati saja
tapi kalau aku mati ninggalin utang yaa sama saja jadi beban buat keluarga.
yuk bisa yuk tahun ini selesai semua perpinjolan nya"|waspada
lelah harus terus berusaha keras, pgnmenyerah pgn mati aja|waspada
lelah hati lelah pikiran inginmenyerah tapi malu sama kesabaran orang-orang palestina. kesulitan aku kayaknya bukan apa-apa dibanding perjuangan hidup-mati mereka sedih|waspada
lelah rek, ingin mati aja|mengkhawatirkan
lelah sekali anjjjjj ingin mati aja|mengkhawatirkan
lelah sekali, maumenyerah saja. ada yang singgung hidup sampai lansia, tidak. aku tidak mau. aku tidak mau hidup lama, aku ingin mati, aku lelah hidup aku gamau lagi di dunia....|mengkhawatirkan
lelah sekali. maumenyerah, mau mati. entah sampai kapan kesialan ini berakhir.|mengkhawatirkan
lelah sih sebenernya...menangis saja tidak apa-apa tidak semua  harus ditahan, tidak apa-apamenangis asal jangan ada pikiran ingin mati ((lagi)), masih ada banyak ide yang harus di eksekusi jadi au yang super duper bagus, semangat aku :)|waspada
lelah, maumenyerah tapi tidak bisa.  saking seringnya pura-pura untuk baik-baik saja sampai rasanya mati rasa|waspada
lu boleh bilang lelah, lu boleh ngeluh, lu bolehmenyerah. tapi lu jangan mati. there is a lot you have not started yet.|normal
"lu tahu clar kadang orang-orang di fase gitu susah dan nyangkal semua nya
""gbisa aku butuh,aku mau dia,gda yng bisa ngertiin aku selain dia""
satu-satunya cara biarin mreka rasain semua sampai berpikir dan hatinya bilang 
""gila aku lelah,nyerah,berasa gila stngah mati sama dia"" 
and its over"|normal
ma, jangan ganggu aku. ma, biarin aku mati. mama tidak butuh aku lagi, tidak ada yang butuh aku lagi. semuanya sudah bahagia di pilihannya dan aku yakin kalian bisa berjuang dengan itu. akumenyerah ma. aku lelah. aku mau pergi.|mengkhawatirkan
maaf ya allah kalo skrang kepikiran ingin mati duluan lagiii, rasanya sudah lelah + gakuat lagi buat terlihat baik-baik saja tapi aslinya isi kepala ku lagi porak poranda, duniakuu hancurr, mentalku semrawuttt :)|waspada
